OBJECTID *,Shape *,slope_max,slope_avg,edge_name,surface,length,start_x,start_y,start_z,end_x,end_y,end_z,floor
45,Polyline Z,4.541479,3.078766,unknown,sidewalk,9.999988,608044.2543,4822831.535,126.3112,608042.7214,4822821.653,126.0033,1
46,Polyline Z,30.998378,30.998378,unknown,sidewalk,0.564072,608039.6555,4822801.889,124.5079,608039.569,4822801.332,124.6828,1
47,Polyline Z,11.575983,7.102496,unknown,sidewalk,9.999988,608041.1884,4822811.771,125.0243,608039.6555,4822801.889,124.5079,1
48,Polyline Z,17.666349,9.814155,unknown,sidewalk,10.000003,608042.7214,4822821.653,126.0033,608041.1884,4822811.771,125.0243,1
49,Polyline Z,0.316595,0.162662,Residence Road,asphalt,9.999978,607842.215,4822466.315,125.9879,607838.0659,4822475.413,126.0041,1
50,Polyline Z,2.457575,1.559807,Residence Road,asphalt,5.68415,607838.0659,4822475.413,126.0041,607835.7075,4822480.585,126.0927,1
51,Polyline Z,2.919347,2.714961,Residence Road,asphalt,10.000036,607835.7075,4822480.585,126.0927,607830.6426,4822489.207,126.3642,1
52,Polyline Z,2.217622,2.217622,Residence Road,asphalt,0.158561,607830.6426,4822489.207,126.3642,607830.5623,4822489.344,126.3675,1
53,Polyline Z,2.084349,2.084349,Residence Road,asphalt,0.71576,607830.5623,4822489.344,126.3675,607830.1998,4822489.961,126.3826,1
54,Polyline Z,0.582144,0.315095,Residence Road,asphalt,5.570794,607826.399,4822497.699,126.5009,607823.9512,4822502.703,126.5066,1
55,Polyline Z,3.34196,2.22826,Residence Road,asphalt,10.00002,607823.9512,4822502.703,126.5066,607818.7965,4822511.272,126.2838,1
56,Polyline Z,3.340542,3.2701,Residence Road,asphalt,4.945714,607818.7965,4822511.272,126.2838,607816.2471,4822515.51,126.122,1
57,Polyline Z,4.98727,4.35172,Residence Road,asphalt,10.00004,607816.2471,4822515.51,126.122,607811.3856,4822524.249,125.6869,1
58,Polyline Z,4.514122,4.178538,Residence Road,asphalt,4.376246,607811.3856,4822524.249,125.6869,607809.2581,4822528.073,125.504,1
59,Polyline Z,2.278874,0.812553,Residence Road,asphalt,9.999952,607809.2581,4822528.073,125.504,607803.5097,4822536.256,125.4848,1
60,Polyline Z,2.412764,1.607927,Residence Road,asphalt,8.902123,607803.5097,4822536.256,125.4848,607798.3924,4822543.54,125.628,1
61,Polyline Z,2.974449,1.883468,Residence Road,asphalt,9.999976,607798.3924,4822543.54,125.628,607792.5381,4822551.647,125.8163,1
